publication,authors,publication_url,authors_link,research_area
Fuzzy Fingerprinting Transformer Language-Models for Emotion Recognition in Conversations,"Patrícia Pereira,Rui Ribeiro,Helena Moniz,Luisa Coheur,Joao Paulo Carvalho",content/fuzzy-fingerprinting-transformer-language-models-for-emotion-recognition-in-conversations,"https://arxiv.org/find/cs/1/au:+Pereira_P/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Ribeiro_R/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Moniz_H/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Coheur_L/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Carvalho_J/0/1/0/all/0/1",computation and language
Two-State Spin Systems with Negative Interactions,"Yumou Fei,Leslie Ann Goldberg,Pinyan Lu",content/two-state-spin-systems-with-negative-interactions,"https://arxiv.org/find/cs/1/au:+Fei_Y/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Goldberg_L/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Lu_P/0/1/0/all/0/1",computational complexity
Testing this app,"Yihan Liu,Zihao Huang",content/testing-this-app,NONE,nlp
Uncloneable Quantum Advice,"Anne Broadbent,Martti Karvonen,Sébastien Lord",content/uncloneable-quantum-advice,"https://arxiv.org/find/quant-ph/1/au:+Broadbent_A/0/1/0/all/0/1,https://arxiv.org/find/quant-ph/1/au:+Karvonen_M/0/1/0/all/0/1,https://arxiv.org/find/quant-ph/1/au:+Lord_S/0/1/0/all/0/1",quantum physics
From stage to page: language independent bootstrap measures of distinctiveness in fictional speech,"Artjoms Šeļa,Ben Nagy,Joanna Byszuk,Laura Hernández-Lorenzo,Botond Szemes,Maciej Eder",content/from-stage-to-page-language-independent-bootstrap-measures-of-distinctiveness-in-fictional-speech,"https://arxiv.org/find/cs/1/au:+Sela_A/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Nagy_B/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Byszuk_J/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Hernandez_Lorenzo_L/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Szemes_B/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Eder_M/0/1/0/all/0/1",computation and language
Learning by Self-Explaining,"Wolfgang Stammer,Felix Friedrich,David Steinmann,Hikaru Shindo,Kristian Kersting",content/learning-by-self-explaining,"https://arxiv.org/find/cs/1/au:+Stammer_W/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Friedrich_F/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Steinmann_D/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Shindo_H/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Kersting_K/0/1/0/all/0/1",artificial intelligence
Regular Post,"Daladier Sampaio,New User",content/regular-post,NONE,machine learning
Testing the submission,New User,content/testing-the-submission,NONE,machine learning
Quantitative and Qualitative Evaluation of Reinforcement Learning Policies for Autonomous Vehicles,"Laura Ferrarotti,Massimiliano Luca,Gabriele Santin,Giorgio Previati,Gianpiero Mastinu,Elena Campi,Lorenzo Uccello,Antonino Albanese,Praveen Zalaya,Alessandro Roccasalva,Bruno Lepri",content/quantitative-and-qualitative-evaluation-of-reinforcement-learning-policies-for-autonomous-vehicles,"https://arxiv.org/find/cs/1/au:+Ferrarotti_L/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Luca_M/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Santin_G/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Previati_G/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Mastinu_G/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Campi_E/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Uccello_L/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Albanese_A/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Zalaya_P/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Roccasalva_A/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Lepri_B/0/1/0/all/0/1",artificial intelligence
Once more,Daladier Sampaio,content/once-more,NONE,machine learning
TiBGL: Template-induced Brain Graph Learning for Functional Neuroimaging Analysis,"Xiangzhu Meng,Wei Wei,Qiang Liu,Shu Wu,Liang Wang",content/tibgl-template-induced-brain-graph-learning-for-functional-neuroimaging-analysis,"https://arxiv.org/find/cs/1/au:+Meng_X/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Wei_W/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Liu_Q/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Wu_S/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Wang_L/0/1/0/all/0/1",artificial intelligence
a brand new publication,New User,content/a-brand-new-publication,NONE,machine learning
A Plaque Test for Redundancies in Relational Data 2,New User,content/a-plaque-test-for-redundancies-in-relational-data-2,NONE,machine learning
Testing the submission 2,"Daladier Sampaio,test user",content/testing-the-submission-2,NONE,machine learning
An Awesome Blog post 2,Daladier Sampaio,content/an-awesome-blog-post-2,NONE,artificial intelligence
Solving Degree Bounds For Iterated Polynomial Systems,Matthias Johann Steiner,content/solving-degree-bounds-for-iterated-polynomial-systems,https://arxiv.org/find/cs/1/au:+Steiner_M/0/1/0/all/0/1,cryptography and security
RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation,"Fangyuan Xu,Weijia Shi,Eunsol Choi",content/recomp-improving-retrieval-augmented-lms-with-compression-and-selective-augmentation,"https://arxiv.org/find/cs/1/au:+Xu_F/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Shi_W/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Choi_E/0/1/0/all/0/1",computation and language
Policy-Gradient Training of Language Models for Ranking,"Ge Gao,Jonathan D. Chang,Claire Cardie,Kianté Brantley,Thorsten Joachim",content/policy-gradient-training-of-language-models-for-ranking,"https://arxiv.org/find/cs/1/au:+Gao_G/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Chang_J/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Cardie_C/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Brantley_K/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Joachim_T/0/1/0/all/0/1",computation and language
Improving Stability in Simultaneous Speech Translation: A Revision-Controllable Decoding Approach,"Junkun Chen,Jian Xue,Peidong Wang,Jing Pan,Jinyu Li",content/improving-stability-in-simultaneous-speech-translation-a-revision-controllable-decoding-approach,"https://arxiv.org/find/cs/1/au:+Chen_J/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Xue_J/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Wang_P/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Pan_J/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Li_J/0/1/0/all/0/1",computation and language
trying to post a new content,Matthias Johann Steiner,content/trying-to-post-a-new-content,NONE,machine learning
DHOT-GM: Robust Graph Matching Using A Differentiable Hierarchical Optimal Transport Framework,"Haoran Cheng,Dixin Luo,Hongteng Xu",content/dhot-gm-robust-graph-matching-using-a-differentiable-hierarchical-optimal-transport-framework,"https://arxiv.org/find/cs/1/au:+Cheng_H/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Luo_D/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Xu_H/0/1/0/all/0/1",artificial intelligence
New post of a paper,"Daladier Sampaio,New User",content/new-post-of-a-paper,NONE,machine learning
A Comparison of Mesh-Free Differentiable Programming and Data-Driven Strategies for Optimal Control under PDE Constraints,"Roussel Desmond Nzoyem,David A. W. Barton,Tom Deakin",content/a-comparison-of-mesh-free-differentiable-programming-and-data-driven-strategies-for-optimal-control-under-pde-constraints,"https://arxiv.org/find/cs/1/au:+Nzoyem_R/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Barton_D/0/1/0/all/0/1,https://arxiv.org/find/cs/1/au:+Deakin_T/0/1/0/all/0/1",machine learning
system test,Tony Fang,content/system-test,NONE,computer vision
